"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка удаления товара из корзины","10613","Проверка удаления товара из корзины","Sauce Demo","Sun May 24 18:28:08 UTC 2026","passed","Sun May 24 18:28:18 UTC 2026","tests.RemoveItemFromCart","Firefox Tests","tests.RemoveItemFromCart","removeItemFromCart"
"Проверка входа в систему с невалидными кредами","211","Проверка входа в систему с невалидными кредами","Sauce Demo","Sun May 24 18:28:02 UTC 2026","passed","Sun May 24 18:28:02 UTC 2026","tests.LoginTest","Chrome Tests","tests.LoginTest","negativeLogin"
"Проверка входа в систему с валидными кредами","252","Проверка входа в систему с валидными кредами","Sauce Demo","Sun May 24 18:27:59 UTC 2026","passed","Sun May 24 18:27:59 UTC 2026","tests.LoginTest","Chrome Tests","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка добавления товара в корзину","707","Проверка добавления товара в корзину","Sauce Demo","Sun May 24 18:27:42 UTC 2026","passed","Sun May 24 18:27:43 UTC 2026","tests.AddToCartTest","Firefox Tests","tests.AddToCartTest","testCartFlow"
"Проверка удаления товара из корзины","10522","Проверка удаления товара из корзины","Sauce Demo","Sun May 24 18:27:48 UTC 2026","passed","Sun May 24 18:27:58 UTC 2026","tests.RemoveItemFromCart","Chrome Tests","tests.RemoveItemFromCart","removeItemFromCart"
"Проверка отображения пустой корзины","10112","Проверка отображения пустой корзины","Sauce Demo","Sun May 24 18:27:37 UTC 2026","passed","Sun May 24 18:27:47 UTC 2026","tests.GoToEmptyCart","Chrome Tests","tests.GoToEmptyCart","checkEmptyCart"
"Проверка локаторов Selenium","819","Проверка локаторов Selenium","Sauce Demo","Sun May 24 18:27:50 UTC 2026","passed","Sun May 24 18:27:51 UTC 2026","tests.LocatorTest","Firefox Tests","tests.LocatorTest","checkLocator"
"Проверка входа в систему с невалидными кредами","214","Проверка входа в систему с невалидными кредами","Sauce Demo","Sun May 24 18:28:01 UTC 2026","passed","Sun May 24 18:28:01 UTC 2026","tests.LoginTest","Chrome Tests","tests.LoginTest","negativeLogin"
"Проверка входа в систему с валидными кредами","460","Проверка входа в систему с валидными кредами","Sauce Demo","Sun May 24 18:28:21 UTC 2026","passed","Sun May 24 18:28:22 UTC 2026","tests.LoginTest","Firefox Tests","tests.LoginTest","checkLoginWithPositiveCred"
"Проверка добавления товара в корзину","464","Проверка добавления товара в корзину","Sauce Demo","Sun May 24 18:27:38 UTC 2026","passed","Sun May 24 18:27:38 UTC 2026","tests.AddToCartTest","Firefox Tests","tests.AddToCartTest","testCartFlow"
"Проверка входа в систему с невалидными кредами","455","Проверка входа в систему с невалидными кредами","Sauce Demo","Sun May 24 18:28:25 UTC 2026","passed","Sun May 24 18:28:26 UTC 2026","tests.LoginTest","Firefox Tests","tests.LoginTest","negativeLogin"
"Проверка отображения пустой корзины","10145","Проверка отображения пустой корзины","Sauce Demo","Sun May 24 18:27:54 UTC 2026","passed","Sun May 24 18:28:04 UTC 2026","tests.GoToEmptyCart","Firefox Tests","tests.GoToEmptyCart","checkEmptyCart"
"Проверка входа в систему с невалидными кредами","428","Проверка входа в систему с невалидными кредами","Sauce Demo","Sun May 24 18:28:29 UTC 2026","passed","Sun May 24 18:28:29 UTC 2026","tests.LoginTest","Firefox Tests","tests.LoginTest","negativeLogin"
"Проверка добавления товара в корзину","571","Проверка добавления товара в корзину","Sauce Demo","Sun May 24 18:27:31 UTC 2026","passed","Sun May 24 18:27:31 UTC 2026","tests.AddToCartTest","Chrome Tests","tests.AddToCartTest","testCartFlow"
"Проверка локаторов Selenium","637","Проверка локаторов Selenium","Sauce Demo","Sun May 24 18:27:35 UTC 2026","passed","Sun May 24 18:27:36 UTC 2026","tests.LocatorTest","Chrome Tests","tests.LocatorTest","checkLocator"
"Проверка добавления товара в корзину","444","Проверка добавления товара в корзину","Sauce Demo","Sun May 24 18:27:33 UTC 2026","passed","Sun May 24 18:27:34 UTC 2026","tests.AddToCartTest","Chrome Tests","tests.AddToCartTest","testCartFlow"
"Проверка входа в систему с невалидными кредами","208","Проверка входа в систему с невалидными кредами","Sauce Demo","Sun May 24 18:28:00 UTC 2026","passed","Sun May 24 18:28:00 UTC 2026","tests.LoginTest","Chrome Tests","tests.LoginTest","negativeLogin"
"Проверка добавления товара в корзину","691","Проверка добавления товара в корзину","Sauce Demo","Sun May 24 18:27:46 UTC 2026","passed","Sun May 24 18:27:47 UTC 2026","tests.AddToCartTest","Firefox Tests","tests.AddToCartTest","testCartFlow"
"Проверка входа в систему с невалидными кредами","438","Проверка входа в систему с невалидными кредами","Sauce Demo","Sun May 24 18:28:33 UTC 2026","passed","Sun May 24 18:28:33 UTC 2026","tests.LoginTest","Firefox Tests","tests.LoginTest","negativeLogin"
"Проверка добавления товара в корзину","454","Проверка добавления товара в корзину","Sauce Demo","Sun May 24 18:27:32 UTC 2026","passed","Sun May 24 18:27:32 UTC 2026","tests.AddToCartTest","Chrome Tests","tests.AddToCartTest","testCartFlow"
